t	Ct	Yt_1	Crt	Sant	Costt
2003	11159.8	27312.3	0	0	6.3
2004	12550.7	29304.9	0	0	2.6
2005	14087.4	31407.8	0	0	1.5
2006	15799.7	33410.5	0	0	2.5
2007	18060.8	36134.6	0	0	-1.4
2008	19967	39218.7	0	0	-1.85
2009	18946.6	41276.8	1	0	2
2010	19993.8	38048.6	0	0	-0.55
2011	21356.2	39762.2	0	0	1.9
2012	23053.8	41457.8	0	0	1.5
2013	24263.15976	42973.5	0	0	1.75
2014	24736.37084	43740.70411	0	0	-3.77
2015	22418.53533	44063.79745	0	1	-0.29
2016	21780.76321	42945.28104	0	1	4.94
2017	22511.92051	42871.14425	0	1	6.5
